region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
North Africa,"December 10, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Kassala, Sudan","15.455814400000, 36.378757100000",NA
Mediterranean,"December 09, 2016",2016,1,1,NA,NA,Unknown,"Body washed up to Zarzis, Tunisia","33.507917400000, 11.117421700000",NA
Mediterranean,"December 09, 2016",2016,2,NA,2,NA,Unknown,"Bodies washed up near El Ketef port, Bengardane, Tunisia","33.208609900000, 11.213254400000",NA
Central America,"December 08, 2016",2016,1,NA,NA,1,Asphyxiation,"Nogales municipality, Orizaba, Verucruz, Mexico","18.856444300000, -97.105878100000",http://bit.ly/2hEqqV7
Mediterranean,"December 08, 2016",2016,10,NA,NA,NA,Unknown,"Bodies washed up near Tajoura, Libya","32.816624900000, 13.342539900000",NA
US-Mexico Border,"December 08, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
North Africa,"December 08, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Singa, Sudan","12.588165200000, 33.152276400000",NA
North Africa,"December 08, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Shendi, Sudan","16.679729400000, 33.429765500000",NA
North Africa,"December 08, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"In the desert around Abu Hamad, Sudan","19.615387300000, 33.265879800000",NA
North Africa,"December 08, 2016",2016,6,NA,NA,NA,Sickness and lack of access to medicines,In the desert of siena around Sudan-Egypt border,"21.966063700000, 28.394940300000",NA
Mediterranean,"December 07, 2016",2016,2,2,NA,NA,Hypothermia,Unspecified location in the Central Mediterranean,"34.180460400000, 15.864573500000",http://bit.ly/2gfdFPO
Central America,"December 07, 2016",2016,1,NA,1,NA,Hit by train,"Colonia Los Metales, Torreon, Coahuila, Mexico","25.546328400000, -103.442644200000",http://bit.ly/2hp0AWq
Mediterranean,"December 07, 2016",2016,7,NA,NA,NA,Drowning,"Cala Bonita, Off the coast of Al-Hoceima, Morocco","35.252860800000, -3.957889200000","http://bit.ly/2iHRKGc, http://bit.ly/2iOURt8, http://bit.ly/2ijw9j4"
Horn of Africa,"December 07, 2016",2016,20,NA,NA,NA,Sickness and lack of access to medicines,"In Arabian Sea northwest of Socotra, Yemen","12.609592800000, 53.601065500000",http://dailym.ai/2hgcuoc
US-Mexico Border,"December 07, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Mediterranean,"December 06, 2016",2016,5,NA,NA,NA,Unknown,"Bodies washed up near Tajoura, Libya","32.816624900000, 13.342539900000",NA
Southeast Asia,"December 05, 2016",2016,30,11,NA,5,Drowning,"Naf River, on border between Bangladesh and Myanmar","20.964922300000, 92.213979900000","http://bit.ly/2gvfvgt, http://bit.ly/2h5gCEV"
Mediterranean,"December 05, 2016",2016,11,NA,NA,NA,Drowning,"20km east of Tripoli, Libya","32.955844000000, 13.227944400000","http://bit.ly/2hk5978, http://bit.ly/2hoRkk0"
Middle East,"December 05, 2016",2016,4,1,NA,NA,Sickness and lack of access to medicines,"Unspecified location in northern Syria, near Turkish border","36.703853400000, 38.781604000000",http://bit.ly/2kqOZt1
Middle East,"December 05, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Outside of Harem, Idlib, Syria, near Turkish border","36.225389900000, 36.502112000000",http://bit.ly/2lpNeKX
Mediterranean,"December 04, 2016",2016,2,2,NA,NA,Hypothermia,Unspecified location in the Central Mediterranean,"34.180460400000, 15.864573500000",http://bit.ly/2h4YOIA
Mediterranean,"December 04, 2016",2016,20,NA,11,3,Drowning,Unspecified location in the Central Mediterranean,"34.180460400000, 15.864573500000",NA
Mediterranean,"December 04, 2016",2016,4,NA,NA,NA,Drowning,Unspecified location in the Central Mediterranean,"34.180460400000, 15.864573500000",NA
Horn of Africa,"December 04, 2016",2016,4,1,3,NA,Sickness and lack of access to medicines,"Near Al Hudaydah, Yemen","14.785213500000, 42.930471600000",NA
Europe,"December 03, 2016",2016,2,1,1,NA,Fall from train,"Train station in Woergl, Austria","47.489249500000, 12.047001700000",http://apne.ws/2grWpYL
North Africa,"December 03, 2016",2016,5,NA,NA,NA,Sickness and lack of access to medicines,"in the Sahra desert around Aswan, Egypt","23.459686000000, 30.665449400000",NA
Southeast Asia,"November 30, 2016",2016,1,1,NA,NA,Shot,"Unspecified location in Myanmar, near border with Bangladesh","21.751643800000, 92.604100500000",http://bit.ly/2f34OA9
Central America,"November 30, 2016",2016,1,NA,1,NA,Cardiac arrest,"Calle Juan Álvarez 210, Tlaxcala Barrio de Tlaxcala, 78038 San Luis, S.L.P., Mexico","22.164577900000, -100.970343700000",http://bit.ly/2hfoEgo
Sub-Saharan Africa,"November 30, 2016",2016,1,NA,NA,NA,Plane stowaway,"Body discovered at the O. R. Tambo International Airport, Johannesburg, South Africa","-26.133210200000, 28.231354500000",http://bit.ly/2iPzx6R
Southeast Asia,"November 30, 2016",2016,1,NA,1,NA,Shot,"Naf River, on border between Bangladesh and Myanmar","20.964922300000, 92.213979900000",http://bit.ly/2kwtWGq
Central America,"November 30, 2016",2016,1,NA,1,NA,Cardiac arrest,"Juchitan Hospital, Ixtepec, Oaxaca","16.495043000000, -95.135752500000",NA
North Africa,"November 30, 2016",2016,15,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Khartoum, Sudan and Tripoli, Libya","21.663450325114, 24.394882093750",NA
Central America,"November 29, 2016",2016,1,NA,1,NA,Fall from train,"Between Paso del Jobo and Tetela, Acatlán de Pérez Figueroa municipality, Oaxaca, Mexico","18.537587800000, -96.607505100000",http://bit.ly/2h5gzaU
US-Mexico Border,"November 29, 2016",2016,1,1,NA,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"November 27, 2016",2016,1,NA,1,NA,Hypothermia,Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Horn of Africa,"November 27, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Kismayu, Somalia","-0.354097600000, 42.527818400000",NA
Horn of Africa,"November 27, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Luuq, Somalia","3.793382300000, 42.531595000000",NA
Mediterranean,"November 26, 2016",2016,8,NA,NA,NA,Dehydration,Unspecifed location between Libya and Malta,"34.089237900000, 13.438092000000",http://bit.ly/2fxjEnz
Mediterranean,"November 25, 2016",2016,1,NA,1,NA,Drowning,"Almadraba, Off the coast of Ceuta, Spain","35.891802400000, -5.333986200000",http://bit.ly/2gHNL9k
Central America,"November 24, 2016",2016,1,NA,1,NA,Unknown,"Between Av. Actopan and Tecamachalco street, Tuxla Gutierrez, Chiapas, Mexico","16.745985700000, -93.199610100000",http://bit.ly/2lelvx7
Europe,"November 23, 2016",2016,1,NA,1,NA,Hypothermia,Abandoned industrial complex in northwestern Bulgaria,"43.159215000000, 23.338148800000",http://bit.ly/2fR6roQ
Mediterranean,"November 23, 2016",2016,28,NA,NA,NA,Unknown,Unspecifed location between Libya and Italy,"36.481138100000, 12.407658900000",http://bit.ly/2gDW6xC
Europe,"November 23, 2016",2016,1,NA,1,NA,Suicide,"Woods near Adasevci transit reception center, in northwestern Serbia","45.040846000000, 19.228587700000",NA
US-Mexico Border,"November 23, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"November 23, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Mediterranean,"November 22, 2016",2016,7,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://bit.ly/2flpbsE
North Africa,"November 22, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Sabratha, Libya","32.770354400000, 12.376176000000",NA
Europe,"November 21, 2016",2016,1,NA,1,NA,Stabbed,"Central Belgrade, Serbia","44.819432000000, 20.394488400000",http://bit.ly/2fAwA86
US-Mexico Border,"November 21, 2016",2016,1,NA,1,NA,Presumed drowning,"Río Bravo, Puente Internacional Uno, Piedras Negras, Coahuila, Mexico","27.133490800000, -103.434484000000",http://bit.ly/2fobUQ3
Europe,"November 21, 2016",2016,1,NA,1,1,Hit by train,"Near Bolzano, Italy","46.489231300000, 11.312138300000",http://bit.ly/2gyb9VZ
North Africa,"November 21, 2016",2016,1,NA,NA,NA,Dehydration,"In the Sahara Desert, Libya","25.550547000000, 15.594826500000",NA
North Africa,"November 21, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"In the Sahara Desert, Sudan","20.963816500000, 24.596916300000",NA
Europe,"November 21, 2016",2016,1,NA,1,NA,Drowning,"Roya River, Ventimiglia, Italy","43.797679911978, 7.601406590430",http://bit.ly/2mDdKSz
North Africa,"November 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Singa, Sudan","12.588165200000, 33.152276400000",NA
North Africa,"November 20, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"In the Sahra desert, around Aswan, Sudan","22.098552300000, 29.693934600000",NA
Horn of Africa,"November 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Near Tadjoura, Djibouti","11.791145100000, 42.877495500000",NA
Horn of Africa,"November 20, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Near Jijiga, Ethiopia","9.352104400000, 42.777371200000",NA
North Africa,"November 20, 2016",2016,5,NA,NA,NA,Sickness and lack of access to medicines,"In the desert, around Abu Hamad, Sudan","19.615387300000, 33.265879800000",NA
North Africa,"November 20, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Khartoum, Sudan","15.501534100000, 32.502556100000",NA
North Africa,"November 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Arusha, Tanzania","-3.398143100000, 36.642193200000",NA
South America,"November 19, 2016",2016,1,1,NA,NA,Presumed hypothermia,"Colchane, Región de Tarapacá, near Bolivia border, Chile","-19.362644600000, -68.982765000000",http://bit.ly/2gb4Xml
Horn of Africa,"November 19, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"At the border between Eritrea and Ethiopia, Near guna guna","14.543877000000, 39.388957600000",NA
Horn of Africa,"November 19, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Around Mahmimet, Eritrea","17.502790100000, 38.526220100000",NA
North Africa,"November 19, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"At the desert, after khartoum, Sudan","15.350333700000, 32.437494900000",NA
North Africa,"November 19, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Al Qadarif, Sudan","14.031672200000, 35.341772300000",NA
North Africa,"November 19, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Aswan, Egypt","23.285107000000, 31.520455700000",NA
Mediterranean,"November 18, 2016",2016,9,NA,NA,NA,Drowning,"Unspecified location off the coast of Didim, Aydin, Turkey. Likely en route to Farmakonisi, Greece.","37.347060700000, 27.184556100000",http://bit.ly/2eWhIok
US-Mexico Border,"November 18, 2016",2016,5,NA,NA,NA,Mixed,"Webb County  jurisdiction, Texas","27.715087300000, -99.907901900000",http://wapo.st/2fbj7CK
North Africa,"November 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"At the desert, after crossing  khartoum, Sudan","15.350333700000, 32.437494900000",NA
Horn of Africa,"November 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Near Hargeisa, Somalia","9.548898100000, 44.029334600000",NA
North Africa,"November 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Al Hajer, Sudan","17.183783300000, 34.610394700000",NA
North Africa,"November 18, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Al Qadarif, Sudan","14.031672200000, 35.341772300000",NA
North Africa,"November 18, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Atbara, Sudan","17.692227100000, 33.976249200000",NA
North Africa,"November 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Aswan, Egypt","23.285107000000, 31.520455700000",NA
North Africa,"November 18, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Al Hajer, Sudan","17.183783300000, 34.610394700000",NA
North Africa,"November 18, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Atbara, Sudan","17.692227100000, 33.976249200000",NA
North Africa,"November 18, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"In the desert, around Dongola, Sudan","18.957626300000, 29.951390200000",NA
Central America,"November 17, 2016",2016,1,NA,NA,NA,Fall from train,"La Patrona, Amatlán, Veracruz, México","18.268156600000, -95.896946100000",http://bit.ly/2gjYXaG
Mediterranean,"November 17, 2016",2016,25,NA,NA,NA,Presumed drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Horn of Africa,"November 17, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"at the the border with Sudan, near Haikota, Eritrea","20.785220600000, 23.845800300000",NA
North Africa,"November 17, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Al Hajer, Sudan","17.183783300000, 34.610394700000",NA
US-Mexico Border,"November 17, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Europe,"November 16, 2016",2016,1,1,NA,NA,Hit by train,"Near the Borghetto station at the border between Veneto and Trentino, Italy","46.099171300000, 10.774698800000",http://bit.ly/2uLtXwa
Mediterranean,"November 16, 2016",2016,4,NA,4,NA,Drowning,"14 km east of Thassos, Greece","40.649775600000, 24.651801300000",http://hcg.gr/node/13883
Mediterranean,"November 16, 2016",2016,103,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
US-Mexico Border,"November 16, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"November 16, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
North Africa,"November 16, 2016",2016,3,NA,3,NA,Sickness and lack of access to medicines,"Wad Madani, Sudan","14.383075200000, 33.461172600000",NA
North Africa,"November 16, 2016",2016,2,NA,2,NA,Sickness and lack of access to medicines,"Khartoum, Sudan","15.501534100000, 32.502556100000",NA
North Africa,"November 16, 2016",2016,4,NA,NA,NA,Sickness and lack of access to medicines,"In the Sahara Desert, Sudan","20.963816500000, 24.596916300000",NA
North Africa,"November 16, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Aswan, Egypt","23.285107000000, 31.520455700000",NA
Southeast Asia,"November 15, 2016",2016,3,2,1,3,Drowning,"Naf River, on border between Bangladesh and Myanmar","20.964922300000, 92.213979900000",http://bit.ly/2kwtWGq
Mediterranean,"November 15, 2016",2016,99,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://reut.rs/2fUu5yu
Mediterranean,"November 14, 2016",2016,135,NA,135,NA,Presumed drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://bit.ly/2eZjnox
Mediterranean,"November 14, 2016",2016,6,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://bit.ly/2fc0vn7
Mediterranean,"November 14, 2016",2016,3,NA,3,1,Presumed drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://ind.pn/2ghvm6B
North Africa,"November 14, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"In the Nile River around Al Bawga, Sudan","19.355078400000, 32.647132400000",NA
Horn of Africa,"November 14, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Around Metema Road, Shawira, Ethiopia","11.934168400000, 36.864917900000",NA
North Africa,"November 14, 2016",2016,4,NA,NA,NA,Sickness and lack of access to medicines,In the Sahara Desert near Egypt-Sudan border,"22.041335800000, 26.625663100000",NA
North Africa,"November 14, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Wad Madani, Sudan","14.383075200000, 33.461172600000",NA
North Africa,"November 14, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Near Atbara, Sudan","17.692227100000, 33.976249200000",NA
North Africa,"November 14, 2016",2016,4,NA,NA,NA,Sickness and lack of access to medicines,"In the desert near Aswan, Egypt","23.459686000000, 30.665449400000",NA
US-Mexico Border,"November 12, 2016",2016,1,NA,1,NA,Excessive Physical Abuse,"Río Grande, Nuevo Laredo, Tamaulipas, Mexico","27.453141600000, -99.614631900000",http://bit.ly/2hWRiAv
Central America,"November 11, 2016",2016,1,NA,1,NA,Fall from train,"Between Tacotulpa and Teapa, Tabasco, Mexico","18.140439600000, -93.451225600000",http://bit.ly/2g4nxAk
North Africa,"November 11, 2016",2016,10,NA,NA,NA,Sickness and lack of access to medicines,"Around abu hamad in the desert, Sudan","19.525259500000, 33.297328800000",NA
Central America,"November 10, 2016",2016,1,1,NA,NA,Cervical cancer,"Hospital Mexico, San José, Costa Rica.","9.951394700000, -84.116810900000",http://bit.ly/2fv6Gll
Mediterranean,"November 09, 2016",2016,26,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
US-Mexico Border,"November 09, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Southeast Asia,"November 07, 2016",2016,5,1,NA,4,Drowning,"Naf River, on border between Bangladesh and Myanmar","20.964922300000, 92.213979900000",http://bit.ly/2lLfCr5
North Africa,"November 07, 2016",2016,1,1,NA,NA,Sickness and lack of access to medicines,"Al Qadarif, Sudan","14.031672200000, 35.341772300000",NA
North Africa,"November 07, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Khartoum, Sudan","15.501534100000, 32.502556100000",NA
North Africa,"November 07, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Mountain cave in the desert, Sudan","20.963816500000, 24.596916300000",NA
North Africa,"November 07, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"In the desert around Asyut, Egypt","27.117069100000, 30.988120200000",NA
North Africa,"November 07, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Sinnar, Sudan","12.917993200000, 33.195020000000",NA
North Africa,"November 07, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,Desert of Aswan on border of Sudan and Egypt,"21.947065400000, 31.150155400000",NA
Caribbean,"November 06, 2016",2016,19,NA,NA,NA,Unknown,"Between Nassau, Bahamas and Miami, Florida, USA","25.358992700000, -79.719282700000","http://bit.ly/2hERIzf, http://bit.ly/2ijjhxi, http://glo.bo/2izw12X"
Mediterranean,"November 06, 2016",2016,1,NA,NA,NA,Drowning,"Unspecified location northwest of Khoms, Libya","32.763298800000, 14.313630800000",http://dailym.ai/2eNLfwC
Mediterranean,"November 05, 2016",2016,22,12,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://bit.ly/2eeGpvQ
Mediterranean,"November 05, 2016",2016,1,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
US-Mexico Border,"November 04, 2016",2016,1,NA,1,NA,Drowning,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico","27.453141600000, -99.614852500000",http://bit.ly/2fT0Hvz
Mediterranean,"November 04, 2016",2016,1,NA,1,NA,Drowning,"Died upon arrival to port of Karlovasi, Samos, Greece. Shipwreck occurred at unspecified location between Turkey and Samos.","37.724580500000, 26.677828300000",http://www.hcg.gr/node/13815
US-Mexico Border,"November 04, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Southeast Asia,"November 02, 2016",2016,60,NA,NA,1,Drowning,Near unspecified island in Indonesia,"-1.467401300000, 123.006260400000",http://bit.ly/2h0McDs
Mediterranean,"November 02, 2016",2016,128,NA,NA,NA,Presumed drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"November 01, 2016",2016,111,NA,NA,3,Drowning,25 miles off the coast of Libya,"30.880495400000, 16.351669700000",NA
Horn of Africa,"November 01, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,At the border of Eritrea and Sudan,"15.893138000000, 35.672195200000",NA
South America,"October 31, 2016",2016,1,1,NA,NA,Presumed hypothermia,Unspecified location between Bolivia and Chile,"-21.017413100000, -68.943531300000","http://bit.ly/2gZyToO, http://bit.ly/2gnZqeM"
Caribbean,"October 31, 2016",2016,6,NA,1,NA,Dehydration,"Near Port Aransas, Corpus Christi, Texas, USA","27.734507500000, -97.406552800000","http://bit.ly/2iIMjrl, http://bit.ly/2jGfmLo, http://bit.ly/2jG62rC, http://bit.ly/2iJmMyy"
North Africa,"October 31, 2016",2016,7,NA,NA,NA,Murdered,"Unspecified location, Libya","27.066317100000, 14.333614500000",NA
North Africa,"October 31, 2016",2016,2,NA,NA,NA,Unknown,"Unspecified location, Libya","27.066317100000, 14.333614500000",NA
North Africa,"October 31, 2016",2016,1,NA,NA,NA,Violence,"Subratah, Libya","32.747612252173, 12.492094121484",NA
North Africa,"October 31, 2016",2016,5,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Khartoum, Sudan and Libya","19.484839112311, 26.702011000000",NA
Middle East,"October 29, 2016",2016,1,NA,1,NA,Sickness and lack of access to medicines,"Ain Diwar, Syria near border of Syria/Turkey/Iraq","37.285751100000, 42.199416300000",http://bit.ly/2kqyxsE
Mediterranean,"October 29, 2016",2016,3,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Central America,"October 28, 2016",2016,1,NA,1,NA,Fall from train,"Train tracks at 167 km Navojoa Obregon International Highway, near Navojoa, Sonora, Mexico","27.053550700000, -109.441433700000",http://bit.ly/2oskS7n
Mediterranean,"October 28, 2016",2016,6,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
US-Mexico Border,"October 28, 2016",2016,1,NA,1,NA,Unknown,"Unspecified location in the desert in New Mexico, USA","32.263709986934, -105.430636975000",http://lat.ms/2oh25gq
Mediterranean,"October 27, 2016",2016,34,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
US-Mexico Border,"October 27, 2016",2016,1,NA,1,NA,Unknown (mummified remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Europe,"October 26, 2016",2016,1,NA,NA,NA,Hit by vehicle,"Outside of Calais, France","50.951880300000, 1.833936700000","http://bit.ly/1O4MUg8, http://bit.ly/23gniCk"
Mediterranean,"October 26, 2016",2016,97,3,92,2,Drowning,"26 miles east of Tripoli, Libya","32.955844000000, 13.227944400000",http://bit.ly/2eIN9i8
Mediterranean,"October 26, 2016",2016,10,1,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",http://bit.ly/2faoSWI
Mediterranean,"October 26, 2016",2016,30,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 26, 2016",2016,29,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 26, 2016",2016,10,4,NA,2,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 26, 2016",2016,10,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 25, 2016",2016,29,NA,NA,NA,Asphyxiation,25 nautical miles from the Libyan coast,"30.880495400000, 16.351669700000",http://bit.ly/2fi9dUk
Mediterranean,"October 25, 2016",2016,1,1,NA,NA,Unknown,"Died in hospital in Sicily, Italy","37.343939900000, 14.111439900000",NA
US-Mexico Border,"October 25, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"October 24, 2016",2016,2,NA,1,NA,Drowning,"Rio Grande near World Trade International Bridge, Nuevo Laredo, Tamaulipas, Mexico","24.215586000000, -99.433269900000",http://bit.ly/2eAfVEw
US-Mexico Border,"October 24, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Central America,"October 23, 2016",2016,44,NA,NA,10,Mixed,Various locations in Mexico,"23.458680200000, -105.501573700000",http://bit.ly/2eNprC0
US-Mexico Border,"October 23, 2016",2016,1,NA,1,NA,Drowning,"Río Bravo, Las Dos Cruces Farm in Presidentes colony, Piedras Negras, Mexico","28.662178500000, -100.576484400000",http://bit.ly/2evKvuV
Europe,"October 23, 2016",2016,1,NA,1,NA,Hit by car,"La Provençale, A8 motorway, France","43.438277900000, 6.469109200000","http://bit.ly/2kuYxl8, http://bit.ly/2tMpCGC"
US-Mexico Border,"October 22, 2016",2016,1,NA,1,NA,Drowning,"Río Bravo, Reynosa, Tamaulipas, Mexico","24.215586000000, -99.433269900000",http://bit.ly/2evKvuV
Mediterranean,"October 22, 2016",2016,1,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 22, 2016",2016,30,2,NA,1,"Asphyxiation, Drowning",Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
North Africa,"October 22, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Desert in Ash Shimalia Province, Sudan","19.402255200000, 27.905378900000",NA
US-Mexico Border,"October 22, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Central America,"October 21, 2016",2016,1,NA,1,NA,Hit by vehicle,"Near Valsequillo, Puebla, Mexico","18.920254500000, -98.134724400000",http://bit.ly/2h6p20m
Mediterranean,"October 21, 2016",2016,1,1,NA,NA,Drowning,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 21, 2016",2016,3,NA,NA,NA,"Asphyxiation, Drowning",Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 21, 2016",2016,13,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Mediterranean,"October 21, 2016",2016,14,NA,NA,NA,Unknown,Unspecified location between Libya and Italy,"34.253371600000, 14.498815300000",NA
Horn of Africa,"October 21, 2016",2016,14,NA,NA,NA,Unknown,"Boat arrived to Guehere, near Obock, Djibouti","11.961817100000, 43.296434100000",NA
North Africa,"October 20, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Al Qadarif, Sudan","14.031672200000, 35.341772300000",NA
North Africa,"October 20, 2016",2016,30,NA,NA,NA,Sickness and lack of access to medicines,"Aswan, Egypt","23.285107000000, 31.520455700000",NA
North Africa,"October 20, 2016",2016,6,NA,NA,NA,Sickness and lack of access to medicines,"Kufrah, Libya","23.248841300000, 19.724216100000",NA
Horn of Africa,"October 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Harar, Ethiopia","9.312848600000, 42.100639100000",NA
North Africa,"October 20, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Kassala, Sudan","15.455814400000, 36.378757100000",NA
Horn of Africa,"October 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Harar, Ethiopia","9.312848600000, 42.100639100000",NA
